gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,click_mean,submit_early,preview,click_std
M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,4.52991453,1.333333333,1,7.507390633
F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,5.820512821,-1.666666667,7,3.249481316
F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,9.076923077,2.333333333,5,2.755580437
F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,3.863247863,-11.66666667,8,3.185682488
M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,8.495726496,-3.333333333,9,2.802058721
M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,5.247863248,-0.333333333,4,5.400180558
F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,6.478632479,-0.333333333,3,2.287141433
F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,8.683760684,0,2,3.310268689
M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,12.63247863,5,5,2.847133015
M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,6.666666667,1,5,4.228960768
F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,7.188034188,-0.666666667,4,3.054215905
M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,5.965811966,0.666666667,5,3.998284185
F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,14.13675214,3,9,3.453874932
M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,11.5982906,0,8,4.287961428
F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,0,,1,3.174358629
F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,4.871794872,1.333333333,2,3.955560858
M,Ireland,HE Qualification,,35-55,0,60,N,Pass,12.42735043,0.333333333,10,3.310344005
